judul,sumber,tanggal,skor,saham,link
"BBM Langka, Warga Antre Berjam-jam hingga Ancam Bakar SPBU",Detik Finance,"Thu, 26 Mar 2026 08:00:46 +070",0,,https://finance.detik.com/foto-bisnis/d-8414558/bbm-langka-warga-antre-berjam-jam-hingga-ancam-bakar-spbu
"Sikapi Kondisi Ekonomi Global, Purbaya: Ada Efisiensi MBG",Detik Finance,"Thu, 26 Mar 2026 07:58:00 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415502/sikapi-kondisi-ekonomi-global-purbaya-ada-efisiensi-mbg
WFH Sehari demi Hemat BBM Tinggal Diputuskan Prabowo,Detik Finance,"Thu, 26 Mar 2026 07:30:53 +070",0,,https://finance.detik.com/energi/d-8415513/wfh-sehari-demi-hemat-bbm-tinggal-diputuskan-prabowo
"Tak Seindah Target Pemerintah, Pertumbuhan Ekonomi Diramal Kurang dari 5,5%",Detik Finance,"Thu, 26 Mar 2026 07:00:10 +070",1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415505/tak-seindah-target-pemerintah-pertumbuhan-ekonomi-diramal-kurang-dari-5-5
Purbaya Sebut RI Harus Siap-siap Jika Krisis BBM,Detik Finance,"Thu, 26 Mar 2026 06:30:05 +070",-1,,https://finance.detik.com/energi/d-8415498/purbaya-sebut-ri-harus-siap-siap-jika-krisis-bbm
Filipina &amp; Bangladesh Darurat BBM!,Detik Finance,"Thu, 26 Mar 2026 05:55:21 +070",0,,https://finance.detik.com/energi/d-8415495/filipina-bangladesh-darurat-bbm
"Jasa Raharja Salurkan Santunan Rp 11,2 Miliar Selama Periode Lebaran",Detik Finance,"Wed, 25 Mar 2026 22:52:46 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415607/jasa-raharja-salurkan-santunan-rp-11-2-miliar-selama-periode-lebaran
Puncak Arus Balik Diprediksi 28-29 Maret,Detik Finance,"Wed, 25 Mar 2026 22:31:17 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415597/puncak-arus-balik-diprediksi-28-29-maret
Pengusaha Ungkap Kondisi Industri Tembakau Usai Aturan Rokok Berlaku,Detik Finance,"Wed, 25 Mar 2026 22:17:13 +070",0,,https://finance.detik.com/industri/d-8415592/pengusaha-ungkap-kondisi-industri-tembakau-usai-aturan-rokok-berlaku
"Krisis BBM, Filipina Buka Opsi Setop Operasional Pesawat",Detik Finance,"Wed, 25 Mar 2026 21:36:53 +070",-1,BUKA,https://finance.detik.com/energi/d-8415535/krisis-bbm-filipina-buka-opsi-setop-operasional-pesawat
Purbaya Buka-bukaan soal Coretax: Salah Desain!,Detik Finance,"Wed, 25 Mar 2026 21:15:42 +070",0,BUKA,https://finance.detik.com/berita-ekonomi-bisnis/d-8415524/purbaya-buka-bukaan-soal-coretax-salah-desain
"Trump Kasih Sinyal Damai ke Iran, Harga Minyak Dunia Langsung Anjlok 5%",Detik Finance,"Wed, 25 Mar 2026 21:00:25 +070",-1,,https://finance.detik.com/energi/d-8415435/trump-kasih-sinyal-damai-ke-iran-harga-minyak-dunia-langsung-anjlok-5
Menhub Bakal Panggil Bos 124 Perusahaan yang Langgar Aturan Pembatasan Truk,Detik Finance,"Wed, 25 Mar 2026 20:30:00 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415476/menhub-bakal-panggil-bos-124-perusahaan-yang-langgar-aturan-pembatasan-truk
IHSG Dibuka Menguat Usai Libur Lebaran,Detik Finance,"Wed, 25 Mar 2026 20:00:57 +070",1,BUKA,https://finance.detik.com/foto-bisnis/d-8414659/ihsg-dibuka-menguat-usai-libur-lebaran
"Purbaya Kembali Guyur Bank Rp 100 T, OJK Ungkap Dampaknya",Detik Finance,"Wed, 25 Mar 2026 20:00:04 +070",0,,https://finance.detik.com/moneter/d-8415403/purbaya-kembali-guyur-bank-rp-100-t-ojk-ungkap-dampaknya
"Aturan Baru Siap Terbit, Free Float Saham 15% Rampung Bulan Ini",Detik Finance,"Wed, 25 Mar 2026 19:30:42 +070",0,,https://finance.detik.com/bursa-dan-valas/d-8415364/aturan-baru-siap-terbit-free-float-saham-15-rampung-bulan-ini
Catat! Ini Jadwal Diskon Tarif Tol 30% Arus Balik,Detik Finance,"Wed, 25 Mar 2026 18:59:44 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415381/catat-ini-jadwal-diskon-tarif-tol-30-arus-balik
Purbaya Diam-diam Guyur Rp 100 T ke Bank Sebelum Lebaran,Detik Finance,"Wed, 25 Mar 2026 18:45:19 +070",0,,https://finance.detik.com/moneter/d-8415313/purbaya-diam-diam-guyur-rp-100-t-ke-bank-sebelum-lebaran
Janji Fredirica Widyasari Usai Dilantik Jadi Bos Baru OJK,Detik Finance,"Wed, 25 Mar 2026 18:30:19 +070",0,,https://finance.detik.com/moneter/d-8415298/janji-fredirica-widyasari-usai-dilantik-jadi-bos-baru-ojk
"Beredar Paket Pencalonan Bos Baru Bursa, OJK Buka Suara",Detik Finance,"Wed, 25 Mar 2026 18:00:54 +070",0,BUKA,https://finance.detik.com/bursa-dan-valas/d-8415239/beredar-paket-pencalonan-bos-baru-bursa-ojk-buka-suara
Pemerintah Klaim Arus Balik Mudik Lancar,Detik Finance,"Wed, 25 Mar 2026 17:43:35 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415236/pemerintah-klaim-arus-balik-mudik-lancar
Lebih dari 2 Juta Kendaraan Sudah Balik Mudik ke Jakarta,Detik Finance,"Wed, 25 Mar 2026 17:31:49 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415218/lebih-dari-2-juta-kendaraan-sudah-balik-mudik-ke-jakarta
Pertamina Catat Kenaikan Konsumsi Pertamax Series Selama Lebaran 2026,Detik Finance,"Wed, 25 Mar 2026 17:09:31 +070",1,,https://finance.detik.com/energi/d-8415184/pertamina-catat-kenaikan-konsumsi-pertamax-series-selama-lebaran-2026
Purbaya Kurang Bayar Pajak Rp 50 Juta,Detik Finance,"Wed, 25 Mar 2026 17:00:29 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415172/purbaya-kurang-bayar-pajak-rp-50-juta
SpaceHub Hadirkan Self Storage Modern untuk Berbagai Kebutuhan,Detik Finance,"Wed, 25 Mar 2026 17:00:22 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415171/spacehub-hadirkan-self-storage-modern-untuk-berbagai-kebutuhan
"SBY Ikut Pantau Gejolak Harga Minyak Dunia, Sebut RI Tak Perlu Panik",Detik Finance,"Wed, 25 Mar 2026 16:56:36 +070",0,,https://finance.detik.com/energi/d-8415169/sby-ikut-pantau-gejolak-harga-minyak-dunia-sebut-ri-tak-perlu-panik
IHSG Melesat Usai Libur Lebaran,Detik Finance,"Wed, 25 Mar 2026 16:47:05 +070",0,,https://finance.detik.com/bursa-dan-valas/d-8415145/ihsg-melesat-usai-libur-lebaran
Jeffrey Hendrik Buka Suara soal Dikabarkan Maju Lagi Jadi Bos BEI,Detik Finance,"Wed, 25 Mar 2026 16:43:32 +070",0,BUKA,https://finance.detik.com/bursa-dan-valas/d-8415125/jeffrey-hendrik-buka-suara-soal-dikabarkan-maju-lagi-jadi-bos-bei
"Waduh! Setelah Lebaran, Ekonomi RI Terancam Turun di Bawah 5%",Detik Finance,"Wed, 25 Mar 2026 16:33:59 +070",-1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415115/waduh-setelah-lebaran-ekonomi-ri-terancam-turun-di-bawah-5
