ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hasil_rp,exit_reason,menang,hold_hari
SONA,2025-10-20,2025-10-21,3000.0,2940.0,-2.5,-312072.0,SL,False,1
KOIN,2025-10-20,2025-10-21,71.0,73.0,2.5,312072.0,TP,True,1
KIOS,2025-10-20,2025-10-21,67.0,69.0,2.5,312072.0,TP,True,1
FISH,2025-10-21,2025-10-22,1935.0,1896.0,-2.5,-313372.0,SL,False,1
MLPL,2025-10-21,2025-10-22,154.0,151.0,-2.5,-313372.0,SL,False,1
IDPR,2025-10-21,2025-10-22,396.0,408.0,2.5,313372.0,TP,True,1
RAAM,2025-10-21,2025-10-22,264.0,259.0,-2.5,-313372.0,SL,False,1
BULL,2025-10-21,2025-10-22,264.0,272.0,2.5,313372.0,TP,True,1
SONA,2025-10-22,2025-10-23,2820.0,2905.0,2.5,312066.0,TP,True,1
NIRO,2025-10-22,2025-10-23,220.0,227.0,2.5,312066.0,TP,True,1
PNGO,2025-10-22,2025-10-23,3070.0,3162.0,2.5,312066.0,TP,True,1
FISH,2025-10-22,2025-10-23,1900.0,1862.0,-2.5,-312066.0,SL,False,1
BULL,2025-10-22,2025-10-23,322.0,316.0,-2.5,-312066.0,SL,False,1
MLPL,2025-10-23,2025-10-24,147.0,144.0,-2.5,-313367.0,SL,False,1
BRPT,2025-10-23,2025-10-24,3740.0,3665.0,-2.5,-313367.0,SL,False,1
EMTK,2025-10-23,2025-10-24,1205.0,1181.0,-2.5,-313367.0,SL,False,1
SCMA,2025-10-23,2025-10-24,352.0,345.0,-2.5,-313367.0,SL,False,1
NIRO,2025-10-23,2025-10-27,274.0,282.0,2.5,313367.0,TP,True,2
MGNA,2025-10-24,2025-10-27,55.0,57.0,2.5,308144.0,TP,True,1
FOOD,2025-10-24,2025-10-27,282.0,290.0,2.5,308144.0,TP,True,1
PICO,2025-10-24,2025-10-27,240.0,235.0,-2.5,-308144.0,SL,False,1
KIOS,2025-10-24,2025-10-27,68.0,67.0,-2.5,-308144.0,SL,False,1
FOOD,2025-10-27,2025-10-28,310.0,319.0,2.5,309450.0,TP,True,1
BRPT,2025-10-27,2025-10-28,3300.0,3234.0,-2.5,-309450.0,SL,False,1
DSSA,2025-10-27,2025-10-28,3552.0,3481.0,-2.5,-309450.0,SL,False,1
EMTK,2025-10-27,2025-10-28,1070.0,1102.0,2.5,309450.0,TP,True,1
ENRG,2025-10-27,2025-10-28,820.0,845.0,2.5,309450.0,TP,True,1
FOOD,2025-10-28,2025-10-29,340.0,350.0,2.5,310739.0,TP,True,1
DSSA,2025-10-28,2025-10-29,3375.0,3308.0,-2.5,-310739.0,SL,False,1
INDY,2025-10-28,2025-10-29,2060.0,2019.0,-2.5,-310739.0,SL,False,1
PTRO,2025-10-28,2025-10-29,6550.0,6746.0,2.5,310739.0,TP,True,1
